#address Crate   slot    chan    id  number  strip   offset  gain        
0x00000200  0   2   0   FH-1    0   1   0   0.976       
0x00000201  0   2   1   FH-2    1   2   0   0.989       
0x00000202  0   2   2   FH-3    2   3   0   1.014       
0x00000203  0   2   3   FH-4    3   4   0   1.008       
0x00000204  0   2   4   FH-5    4   5   0   0.997       
0x00000205  0   2   5   FH-6    5   6   0   1.002       
0x00000206  0   2   6   FH-7    6   7   0   0.951       
0x00000207  0   2   7   FH-8    7   8   0   0.983       
0x00000208  0   2   8   FH-9    8   9   0   0.991       
0x00000209  0   2   9   FH-10   9   10  0   0.992       
0x0000020a  0   2   10  FH-11   10  11  0   0.993       
0x0000020b  0   2   11  FH-12   11  12  0   0.963       
0x0000020c  0   2   12  FH-13   12  13  0   0.964       
0x0000020d  0   2   13  FH-14   13  14  0   0.972       
0x0000020e  0   2   14  FH-15   14  15  0   0.969       
0x0000020f  0   2   15  FH-16   15  16  0   0.949       
                                        
0x00000300  0   3   0   FH-17   16  17  0   0.807       
0x00000301  0   3   1   FH-18   17  18  0   0.991       
0x00000302  0   3   2   FH-19   18  19  0   0.988       
0x00000303  0   3   3   FH-20   19  20  0   0.968       
0x00000304  0   3   4   FH-21   20  21  0   0.975       
0x00000305  0   3   5   FH-22   21  22  0   0.962       
0x00000306  0   3   6   FH-23   22  23  0   0.959       
0x00000307  0   3   7   FH-24   23  24  0   0.97        
0x00000308  0   3   8   FH-25   24  25  0   0.979       
0x00000309  0   3   9   FH-26   25  26  0   0.997       
0x0000030a  0   3   10  FH-27   26  27  0   1.025       
0x0000030b  0   3   11  FH-28   27  28  0   0.991       
0x0000030c  0   3   12  FH-29   28  29  0   1.019       
0x0000030d  0   3   13  FH-30   29  30  0   0.961       
0x0000030e  0   3   14  FH-31   30  31  0   0.987       
0x0000030f  0   3   15  FH-32   31  32  0   0.954       
                                        
0x00000400  0   4   0   FH-33   32  33  0   1.034       
0x00000401  0   4   1   FH-34   33  34  0   1.099       
0x00000402  0   4   2   FH-35   34  35  0   1.071       
0x00000403  0   4   3   FH-36   35  36  0   1.049       
0x00000404  0   4   4   FH-37   36  37  0   1.049       
0x00000405  0   4   5   FH-38   37  38  0   1.058       
0x00000406  0   4   6   FH-39   38  39  0   1.075       
0x00000407  0   4   7   FH-40   39  40  0   1.073       
0x00000408  0   4   8   FL-40   40  40  0   0       
0x00000409  0   4   9   FL-39   41  39  335.592 1.71821     
0x0000040a  0   4   10  FL-38   42  38  284.927 1.94394     
0x0000040b  0   4   11  FL-37   43  37  313.739 1.76388     
0x0000040c  0   4   12  FL-36   44  36  331.264 1.72517     
0x0000040d  0   4   13  FL-35   45  35  310.579 1.86008     
0x0000040e  0   4   14  FL-34   46  34  296.061 1.90299     
0x0000040f  0   4   15  FL-33   47  33  319.878 1.80051     
                                        
0x00000500  0   5   0   FL-32   48  32  32.3817 0.983595        
0x00000501  0   5   1   FL-31   49  31  -30.2169    1.07367     
0x00000502  0   5   2   FL-30   50  30  -42.4918    1.09017     
0x00000503  0   5   3   FL-29   51  29  -37.3876    1.11324     
0x00000504  0   5   4   FL-28   52  28  -38.3365    1.08474     
0x00000505  0   5   5   FL-27   53  27  -31.4084    1.09339     
0x00000506  0   5   6   FL-26   54  26  -26.3888    1.08356     
0x00000507  0   5   7   FL-25   55  25  -17.9925    1.02894     
0x00000508  0   5   8   FL-24   56  24  -9.64835    1.00609     
0x00000509  0   5   9   FL-23   57  23  -5.2169 0.998177        
0x0000050a  0   5   10  FL-22   58  22  5.79387 0.97022     
0x0000050b  0   5   11  FL-21   59  21  10.406  0.973295        
0x0000050c  0   5   12  FL-20   60  20  18.8024 0.942896        
0x0000050d  0   5   13  FL-19   61  19  3.29741 0.986284        
0x0000050e  0   5   14  FL-18   62  18  0.00144358  0.999988        
0x0000050f  0   5   15  FL-17   63  17  53.0157 0.948417        
                                        
0x00000600  0   6   0   Fl-16   64  16  85.9035 0.765507        
0x00000601  0   6   1   Fl-15   65  15  95.244  0.742928        
0x00000602  0   6   2   Fl-14   66  14  99.0823 0.762472        
0x00000603  0   6   3   Fl-13   67  13  94.694  0.741083        
0x00000604  0   6   4   Fl-12   68  12  96.6041 0.741149        
0x00000605  0   6   5   Fl-11   69  11  100.884 0.771787        
0x00000606  0   6   6   Fl-10   70  10  97.9172 0.754078        
0x00000607  0   6   7   Fl-9    71  9   93.5731 0.742439        
0x00000608  0   6   8   Fl-8    72  8   96.6532 0.752533        
0x00000609  0   6   9   Fl-7    73  7   94.7737 0.735917        
0x0000060a  0   6   10  Fl-6    74  6   96.9018 0.750451        
0x0000060b  0   6   11  Fl-5    75  5   97.0834 0.74528     
0x0000060c  0   6   12  Fl-4    76  4   96.4936 0.750955        
0x0000060d  0   6   13  Fl-3    77  3   95.43   0.752164        
0x0000060e  0   6   14  Fl-2    78  2   94.3391 0.747141        
0x0000060f  0   6   15  Fl-1    79  1   109.498 0.712285        
                                        
0x00000700  0   7   0   BH-1    80  1   0   1.121       
0x00000701  0   7   1   BH-2    81  2   0   1.045       
0x00000702  0   7   2   BH-3    82  3   0   1.058       
0x00000703  0   7   3   BH-4    83  4   0   1.061       
0x00000704  0   7   4   BH-5    84  5   0   1.063       
0x00000705  0   7   5   BH-6    85  6   0   1.082       
0x00000706  0   7   6   BH-7    86  7   0   1.076       
0x00000707  0   7   7   BH-8    87  8   0   1.068       
0x00000708  0   7   8   BH-9    88  9   0   1.025       
0x00000709  0   7   9   BH-10   89  10  0   1.053       
0x0000070a  0   7   10  BH-11   90  11  0   1.048       
0x0000070b  0   7   11  BH-12   91  12  0   1.061       
0x0000070c  0   7   12  BH-13   92  13  0   1.045       
0x0000070d  0   7   13  BH-14   93  14  0   1.072       
0x0000070e  0   7   14  BH-15   94  15  0   1.074       
0x0000070f  0   7   15  BH-16   95  16  0   1.011       
                                        
0x00000800  0   8   0   BH-17   96  17  0   1.029       
0x00000801  0   8   1   BH-18   97  18  0   1.056       
0x00000802  0   8   2   BH-19   98  19  0   1.04        
0x00000803  0   8   3   BH-20   99  20  0   1.071       
0x00000804  0   8   4   BH-21   100 21  0   1.085       
0x00000805  0   8   5   BH-22   101 22  0   1.068       
0x00000806  0   8   6   BH-23   102 23  0   1.047       
0x00000807  0   8   7   BH-24   103 24  0   1.058       
0x00000808  0   8   8   BH-25   104 25  0   1.089       
0x00000809  0   8   9   BH-26   105 26  0   1.072       
0x0000080a  0   8   10  BH-27   106 27  0   1.068       
0x0000080b  0   8   11  BH-28   107 28  0   1.065       
0x0000080c  0   8   12  BH-29   108 29  0   1.069       
0x0000080d  0   8   13  BH-30   109 30  0   1.05        
0x0000080e  0   8   14  BH-31   110 31  0   1.096       
0x0000080f  0   8   15  BH-32   111 32  0   1.113       
                                        
0x00000900  0   9   0   BH-33   112 33  0   1.177       
0x00000901  0   9   1   BH-34   113 34  0   1.136       
0x00000902  0   9   2   BH-35   114 35  0   1.153       
0x00000903  0   9   3   BH-36   115 36  0   1.182       
0x00000904  0   9   4   BH-37   116 37  0   1.209       
0x00000905  0   9   5   BH-38   117 38  0   1.16        
0x00000906  0   9   6   BH-39   118 39  0   1.194       
0x00000907  0   9   7   BH-40   119 40  0   1.19        
0x00000908  0   9   8   BL-40   120 40  90.13986534 0.459189364     
0x00000909  0   9   9   BL-39   121 39  105.7720281 0.4560258       
0x0000090a  0   9   10  BL-38   122 38  114.0355858 0.459454662     
0x0000090b  0   9   11  BL-37   123 37  118.0517269 0.455962928     
0x0000090c  0   9   12  BL-36   124 36  107.3586211 0.447395774     
0x0000090d  0   9   13  BL-35   125 35  120.9719324 0.450013503     
0x0000090e  0   9   14  BL-34   126 34  122.0629573 0.448218339     
0x0000090f  0   9   15  BL-33   127 33  0   0       
                                        
0x00000a00  0   10  0   BL-32   128 32  172.7499601 0.83557259      
0x00000a01  0   10  1   BL-31   129 31  220.9221624 0.757698031     
0x00000a02  0   10  2   BL-30   130 30  217.6747695 0.756678755     
0x00000a03  0   10  3   BL-29   131 29  218.7159547 0.755849998     
0x00000a04  0   10  4   BL-28   132 28  168.6752393 0.830657205     
0x00000a05  0   10  5   BL-27   133 27  220.9159706 0.752892194     
0x00000a06  0   10  6   BL-26   134 26  218.8050223 0.744614152     
0x00000a07  0   10  7   BL-25   135 25  222.4644121 0.748224483     
0x00000a08  0   10  8   BL-24   136 24  217.7666948 0.734854826     
0x00000a09  0   10  9   BL-23   137 23  0   0       
0x00000a0a  0   10  10  BL-22   138 22  215.7286199 0.751944363     
0x00000a0b  0   10  11  BL-21   139 21  215.3232912 0.775092397     
0x00000a0c  0   10  12  BL-20   140 20  216.8831639 0.741818289     
0x00000a0d  0   10  13  BL-19   141 19  217.4375736 0.739955967     
0x00000a0e  0   10  14  BL-18   142 18  216.7345592 0.754268692     
0x00000a0f  0   10  15  BL-17   143 17  203.2139163 0.742527971     
                                        
